NumIters	Seconds	LearningRate	loss
175400.0	64493.441613	0.001	0.0740484
175420.0	64500.743544	0.001	0.345478
175440.0	64508.102968	0.001	0.523805
175460.0	64515.396035	0.001	0.106849
175480.0	64522.73684	0.001	0.164722
175500.0	64530.062373	0.001	0.211436
175520.0	64537.443188	0.001	0.433098
175540.0	64544.888748	0.001	0.14512
175560.0	64552.260393	0.001	0.27797
175580.0	64559.579003	0.001	0.231417
175600.0	64567.025784	0.001	0.298622
175620.0	64574.543733	0.001	0.402235
175640.0	64582.037089	0.001	0.271525
175660.0	64589.40229	0.001	0.451567
175680.0	64596.725491	0.001	0.546218
175700.0	64604.293346	0.001	0.317253
175720.0	64611.718667	0.001	0.397634
175740.0	64619.033982	0.001	0.354016
175760.0	64626.334929	0.001	0.24469
175780.0	64633.696882	0.001	0.20643
175800.0	64640.798136	0.001	0.21253
175820.0	64648.097266	0.001	0.13446
175840.0	64655.308099	0.001	0.136964
175860.0	64662.620919	0.001	0.1494
175880.0	64669.9761	0.001	0.243268
175900.0	64677.318574	0.001	0.190844
175920.0	64684.804843	0.001	0.574105
175940.0	64692.253641	0.001	0.344272
175960.0	64699.571875	0.001	0.45475
175980.0	64706.872505	0.001	0.557051
176000.0	64714.277221	0.001	0.617527
176020.0	64721.526752	0.001	0.659133
176040.0	64728.851225	0.001	0.400543
176060.0	64736.369892	0.001	0.277565
176080.0	64743.503329	0.001	0.175483
176100.0	64750.833773	0.001	0.446347
176120.0	64758.175835	0.001	0.440306
176140.0	64765.496726	0.001	0.450855
176160.0	64772.723451	0.001	0.463127
176180.0	64780.093567	0.001	0.110869
176200.0	64787.453953	0.001	0.254867
176220.0	64794.864918	0.001	0.57002
176240.0	64802.212162	0.001	0.300256
176260.0	64809.731387	0.001	0.226413
176280.0	64817.087291	0.001	0.166243
176300.0	64824.493135	0.001	0.239201
176320.0	64831.842569	0.001	0.118359
176340.0	64839.138193	0.001	0.269552
176360.0	64846.642222	0.001	0.536191
176380.0	64854.232005	0.001	0.234915
176400.0	64861.628065	0.001	0.616593
176420.0	64868.878473	0.001	0.843361
176440.0	64876.325795	0.001	0.17231
176460.0	64883.598083	0.001	0.515055
176480.0	64891.157003	0.001	0.439767
176500.0	64898.691062	0.001	0.333741
176520.0	64906.054296	0.001	0.460498
176540.0	64913.54549	0.001	0.138799
176560.0	64920.922188	0.001	0.17609
176580.0	64928.369439	0.001	0.252181
176600.0	64935.718873	0.001	0.186377
176620.0	64942.943881	0.001	0.11317
176640.0	64950.308976	0.001	0.360139
176660.0	64957.67856	0.001	0.449784
176680.0	64964.973068	0.001	0.110226
176700.0	64972.159395	0.001	0.412466
176720.0	64979.52141	0.001	0.590883
176740.0	64986.819185	0.001	0.219679
176760.0	64994.164399	0.001	0.148902
176780.0	65001.460069	0.001	0.296984
176800.0	65008.756536	0.001	0.218068
176820.0	65016.06804	0.001	0.523624
176840.0	65023.455961	0.001	0.360041
176860.0	65030.699286	0.001	0.538933
176880.0	65038.018515	0.001	0.163404
176900.0	65045.336792	0.001	0.397603
